176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,September 28 2014,,September 29 2014,,September 30 2014,,October 01 2014,,October 02 2014,,October 03 2014,,October 04 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,159,117,78,58,108,57,130,63,133,68,116,79,182,127
1:00,135,84,59,28,62,22,67,38,67,34,83,47,121,71
2:00,75,48,47,17,47,18,52,19,61,36,48,23,89,31
3:00,64,33,21,15,25,14,39,21,34,17,44,29,48,37
4:00,32,24,38,12,45,11,43,11,47,13,36,21,52,26
5:00,27,9,53,33,63,35,49,30,63,27,58,28,52,21
6:00,48,36,122,50,118,59,114,62,127,68,133,76,81,33
7:00,89,45,243,172,241,167,248,182,258,162,279,170,106,52
8:00,120,60,296,236,309,283,326,259,331,276,357,273,181,117
9:00,218,99,361,282,326,245,352,287,328,283,360,250,313,181
10:00,307,194,345,245,367,261,337,231,335,268,366,266,373,250
11:00,401,266,350,240,354,266,378,258,207,187,416,312,459,313
12:00,417,279,381,307,385,287,422,266,415,325,499,373,524,400
13:00,534,381,434,309,421,325,504,363,448,349,524,385,545,394
14:00,510,419,475,369,445,347,502,381,486,393,534,424,578,414
15:00,516,357,542,435,537,449,560,486,504,417,629,526,564,421
16:00,541,360,676,586,655,584,666,600,653,543,707,633,557,459
17:00,468,337,738,717,637,795,831,718,774,745,850,766,462,421
18:00,527,361,813,747,842,780,830,758,856,792,855,701,604,443
19:00,448,299,691,564,776,648,720,581,728,583,706,555,532,360
20:00,441,316,452,318,490,378,491,380,535,377,560,429,462,323
21:00,293,194,326,239,368,260,444,278,374,287,405,284,310,216
22:00,235,155,223,151,263,200,286,193,287,174,347,237,311,216
23:00,157,86,156,101,167,113,186,123,166,105,290,203,245,161
TOTAL,6762,4559,7920,6231,8051,6604,8577,6588,8217,6529,9202,7090,7751,5487
