176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,October 12 2014,,October 13 2014,,October 14 2014,,October 15 2014,,October 16 2014,,October 17 2014,,October 18 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,111,72,53,71,94,90,110,88,95,101,118,106,145,112
1:00,72,35,45,14,69,33,65,30,55,27,55,29,99,45
2:00,48,34,30,13,39,14,32,19,41,26,39,28,90,29
3:00,52,17,25,11,33,22,25,22,37,14,38,28,42,21
4:00,25,18,30,38,39,48,61,39,51,42,34,32,34,18
5:00,37,36,95,115,99,120,98,123,98,122,103,119,42,59
6:00,63,76,272,292,258,320,257,305,271,325,234,276,92,85
7:00,58,62,310,305,285,304,306,303,283,280,271,267,76,66
8:00,49,27,297,222,303,239,298,228,299,237,296,224,73,40
9:00,80,38,247,142,209,151,219,170,217,182,214,161,95,73
10:00,100,62,216,136,196,144,203,148,202,151,211,144,148,103
11:00,145,107,224,154,223,188,212,165,290,198,222,173,177,141
12:00,184,140,250,193,228,182,234,189,265,217,281,224,269,206
13:00,245,186,287,245,263,248,268,259,307,232,251,254,282,213
14:00,267,216,324,311,295,321,283,300,372,355,346,344,318,246
15:00,224,215,351,413,382,388,369,423,365,423,387,383,327,250
16:00,216,144,486,416,440,425,419,406,496,503,470,415,327,219
17:00,207,166,499,435,499,453,511,432,527,447,455,391,308,251
18:00,306,216,526,435,509,433,537,488,522,457,518,429,346,217
19:00,260,205,405,319,444,368,450,370,445,368,474,372,277,224
20:00,201,148,258,190,315,242,312,234,346,256,337,265,252,168
21:00,177,118,178,131,230,156,222,163,234,192,250,170,209,144
22:00,109,82,146,121,176,155,209,155,180,135,200,163,177,141
23:00,86,111,111,152,131,141,110,123,131,124,171,132,168,116
TOTAL,3322,2531,5665,4874,5759,5185,5810,5182,6129,5414,5975,5129,4373,3187
