176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,October 12 2014,,October 13 2014,,October 14 2014,,October 15 2014,,October 16 2014,,October 17 2014,,October 18 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,179,103,109,43,91,58,106,47,116,58,136,60,190,125
1:00,109,77,56,26,67,23,56,27,77,34,83,32,112,69
2:00,80,49,45,15,40,14,58,29,46,18,52,23,61,43
3:00,77,34,42,19,44,19,33,16,32,24,42,13,69,30
4:00,41,18,32,18,36,13,47,19,48,11,46,21,33,26
5:00,41,13,58,25,58,26,71,26,72,26,65,32,57,23
6:00,62,38,121,53,135,56,130,81,130,53,143,72,68,38
7:00,85,31,236,167,229,175,247,182,247,163,250,171,97,56
8:00,122,64,295,220,298,244,300,227,315,225,359,250,166,99
9:00,212,122,333,250,319,233,331,217,354,254,368,262,283,159
10:00,328,187,342,260,331,222,336,231,292,246,388,270,387,229
11:00,421,282,357,277,356,229,350,208,352,286,379,286,450,321
12:00,492,310,441,297,408,304,433,308,415,325,421,295,522,358
13:00,611,434,479,338,458,304,423,307,442,383,481,330,511,405
14:00,546,414,478,359,435,330,450,329,475,397,466,387,564,449
15:00,439,299,547,442,519,440,557,462,547,521,634,565,594,442
16:00,406,253,645,529,623,552,664,563,659,606,734,631,601,421
17:00,449,303,736,605,803,742,776,759,816,775,790,740,635,404
18:00,529,385,733,623,855,810,855,768,827,772,794,735,600,399
19:00,454,300,607,468,702,550,708,564,685,566,697,543,556,340
20:00,426,261,405,282,472,340,491,363,515,385,503,426,450,311
21:00,276,186,319,248,369,256,387,268,342,282,371,300,370,260
22:00,194,123,223,174,236,172,282,176,269,200,331,251,282,183
23:00,125,82,238,160,157,93,191,109,190,105,246,184,216,160
TOTAL,6704,4368,7877,5898,8041,6205,8282,6286,8263,6715,8779,6879,7874,5350
