176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,October 12 2014,October 13 2014,October 14 2014,October 15 2014,October 16 2014,October 17 2014,October 18 2014
EAST LEG,11072,13775,14246,14568,14978,15658,13224
NORTH LEG,12399,19309,20021,20095,20984,20674,16131
SOUTH LEG,5853,10539,10944,10992,11543,11104,7560
WEST LEG,6825,8648,9070,9087,9557,9791,8309
TOTAL,36149,52271,54281,54742,57062,57227,45224
