112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,October 26 2014,October 27 2014,October 28 2014,October 29 2014,October 30 2014,October 31 2014,November 01 2014
EAST LEG,7081,8384,8683,8842,8911,9503,8647
NORTH LEG,18215,26530,26772,27139,26991,28464,22910
SOUTH LEG,17050,24635,25096,26022,25940,26965,22096
WEST LEG,5271,7010,7132,6986,7403,8296,6720
TOTAL,47617,66559,67683,68989,69245,73228,60373
