112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,October 26 2014,,,October 27 2014,,,October 28 2014,,,October 29 2014,,,October 30 2014,,,October 31 2014,,,November 01 2014,,
TIME,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27
0:00,259,220,145,116,97,67,169,174,124,168,164,105,179,175,114,200,175,119,239,224,186
1:00,180,161,118,71,60,42,91,108,55,99,103,71,109,116,60,108,117,71,173,181,113
2:00,111,117,68,47,44,27,62,58,28,63,51,26,71,81,45,57,65,33,123,99,78
3:00,75,105,50,40,30,19,61,50,34,57,54,36,61,62,39,75,64,34,95,85,78
4:00,56,44,26,42,54,28,67,55,38,61,68,32,67,52,30,63,70,24,75,67,42
5:00,56,43,37,96,86,67,104,92,57,129,96,69,108,103,75,113,109,62,76,66,42
6:00,72,79,48,276,224,160,263,225,146,273,237,160,268,231,166,267,221,148,101,103,56
7:00,105,82,42,363,294,237,351,308,261,398,312,284,385,326,250,352,306,219,133,106,67
8:00,123,90,72,404,368,276,415,304,261,434,322,277,429,344,251,396,334,252,188,175,114
9:00,161,136,77,378,283,255,370,285,250,370,291,246,411,306,257,372,274,241,266,217,181
10:00,340,213,189,423,281,254,377,299,263,387,270,281,397,259,263,388,271,274,356,285,222
11:00,326,274,212,382,311,292,356,297,304,402,373,275,411,300,295,450,319,316,405,368,300
12:00,222,280,219,483,397,401,423,314,341,461,369,390,453,346,372,496,394,382,511,471,382
13:00,348,343,316,490,406,386,478,350,425,503,390,416,478,385,414,547,462,466,547,485,421
14:00,454,477,380,544,463,448,551,481,455,598,494,449,531,485,426,602,581,533,577,539,479
15:00,522,468,208,643,566,490,643,560,500,642,553,622,631,596,558,633,613,601,581,590,502
16:00,538,377,296,701,778,707,724,736,712,716,763,713,719,702,726,721,763,771,618,574,502
17:00,575,457,364,732,782,740,660,835,746,722,818,750,728,847,755,749,826,789,580,563,482
18:00,513,475,433,747,810,818,718,825,812,704,847,805,709,840,811,746,814,822,581,589,509
19:00,484,458,381,593,730,651,615,735,629,675,746,706,663,711,604,725,837,723,534,500,433
20:00,391,352,303,486,445,401,503,540,451,535,472,444,537,547,503,516,473,389,466,423,353
21:00,298,296,240,365,330,273,399,378,289,462,426,337,428,378,318,418,387,306,394,350,308
22:00,203,207,143,303,262,208,330,277,246,315,297,214,361,333,252,406,351,318,337,294,249
23:00,202,175,140,228,185,149,236,246,171,237,226,161,284,231,182,316,279,251,266,246,175
TOTAL,6614,5929,4507,8953,8286,7396,8966,8532,7598,9411,8742,7869,9418,8756,7766,9716,9105,8144,8222,7600,6274
