112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,December 07 2014,December 08 2014,December 09 2014,December 10 2014,December 11 2014,December 12 2014,December 13 2014
EAST LEG,7988,8994,8925,8685,8872,9827,8957
NORTH LEG,18497,26783,27499,27398,27550,29573,24389
SOUTH LEG,18590,24826,25736,25662,25446,28181,24058
WEST LEG,5679,7024,7134,7106,7179,8120,6766
TOTAL,50754,67627,69294,68851,69047,75701,64170
