176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,October 05 2014,,October 06 2014,,October 07 2014,,October 08 2014,,October 09 2014,,October 10 2014,,October 11 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,125,78,64,67,103,101,91,91,102,107,130,100,140,110
1:00,78,40,43,19,56,26,74,33,57,23,77,31,90,54
2:00,55,41,25,18,36,21,39,18,44,18,30,27,59,33
3:00,50,24,25,11,40,15,29,9,29,17,35,19,37,21
4:00,37,14,46,30,50,38,46,43,40,41,39,38,37,24
5:00,35,51,107,109,89,122,108,132,145,122,83,108,42,45
6:00,75,88,282,314,296,323,314,318,282,324,204,281,85,105
7:00,57,66,292,290,337,317,311,341,326,349,258,248,69,73
8:00,75,51,308,242,303,227,286,235,282,234,235,198,94,48
9:00,79,59,231,167,230,163,235,182,242,195,191,177,125,77
10:00,147,67,215,144,200,130,190,121,222,160,206,162,182,97
11:00,177,99,262,173,238,172,216,167,212,165,224,205,206,132
12:00,185,117,257,200,243,189,284,184,251,207,273,233,226,163
13:00,239,200,316,230,302,232,266,231,303,242,284,243,296,217
14:00,271,211,325,335,318,293,315,308,350,334,311,308,253,266
15:00,259,224,362,405,372,396,374,403,364,398,407,391,294,250
16:00,235,199,474,453,468,463,437,428,422,483,426,387,289,221
17:00,259,254,499,535,498,469,490,492,496,503,472,424,336,242
18:00,277,222,571,513,548,466,569,462,549,467,552,416,313,229
19:00,252,189,377,317,443,380,444,377,444,365,423,328,254,204
20:00,249,182,265,178,309,270,330,275,359,261,342,243,243,173
21:00,176,122,208,143,240,175,235,174,256,167,204,163,202,143
22:00,108,75,174,150,163,131,191,156,190,133,187,140,176,123
23:00,83,130,133,123,131,128,126,136,155,137,158,132,158,131
TOTAL,3583,2803,5861,5166,6013,5247,6000,5316,6122,5452,5751,5002,4206,3181
