176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,October 05 2014,October 06 2014,October 07 2014,October 08 2014,October 09 2014,October 10 2014,October 11 2014
EAST LEG,11722,14998,14695,15689,15255,15055,12999
NORTH LEG,13800,20453,20686,20838,21212,20626,15522
SOUTH LEG,6386,11027,11260,11316,11574,10753,7387
WEST LEG,7570,9480,9326,9642,9690,9453,8373
TOTAL,39478,55958,55967,57485,57731,55887,44281
