112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,October 05 2014,,,October 06 2014,,,October 07 2014,,,October 08 2014,,,October 09 2014,,,October 10 2014,,,October 11 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,122,83,125,79,48,75,88,84,127,103,67,139,114,93,141,121,72,148,149,105,166
1:00,75,56,100,46,40,43,39,39,62,28,26,42,44,41,59,47,47,65,49,46,53
2:00,40,31,36,20,18,46,41,36,49,23,23,33,40,32,62,37,35,72,31,41,40
3:00,53,41,42,24,35,59,39,29,93,28,33,53,13,19,34,34,35,67,17,31,52
4:00,24,31,46,66,67,181,60,67,182,55,71,166,48,57,157,77,91,159,46,35,77
5:00,42,33,73,191,262,578,182,264,605,162,215,489,163,190,490,186,223,547,66,61,161
6:00,92,64,122,517,540,841,528,535,801,433,498,811,380,490,779,414,475,800,117,113,207
7:00,192,135,208,607,663,789,724,800,897,733,796,858,655,766,864,667,706,805,242,145,316
8:00,198,146,234,793,848,792,734,851,755,705,806,784,651,736,645,698,776,728,315,267,419
9:00,279,230,289,668,650,644,657,689,618,657,690,664,643,668,671,605,602,650,413,356,473
10:00,516,423,464,632,626,530,542,553,557,519,537,575,524,538,533,544,528,548,483,442,543
11:00,520,463,470,546,544,501,443,415,509,448,406,501,490,432,522,505,541,539,472,489,528
12:00,475,528,515,451,470,485,457,473,473,447,428,461,447,435,455,515,549,512,527,570,521
13:00,483,507,518,488,490,503,436,478,474,463,477,481,453,487,484,533,580,497,489,578,507
14:00,473,517,500,443,519,521,439,515,503,435,534,525,460,559,466,517,575,503,489,521,471
15:00,431,507,482,441,534,537,482,523,506,474,549,498,474,583,545,513,555,476,431,499,479
16:00,363,458,497,419,599,619,455,546,566,445,561,560,344,622,597,495,612,537,416,517,539
17:00,380,572,680,367,749,845,440,620,619,425,597,644,428,674,729,476,549,519,428,524,638
18:00,408,465,584,420,478,537,448,517,511,444,491,558,468,562,526,444,530,474,467,455,546
19:00,351,311,361,320,339,318,392,375,393,402,406,426,376,374,417,418,447,467,404,417,427
20:00,289,296,338,252,209,237,294,302,327,321,270,306,283,260,322,368,267,351,326,263,335
21:00,211,206,250,193,207,225,190,182,262,195,212,255,213,230,275,246,204,271,240,214,270
22:00,143,148,210,217,185,242,155,145,215,167,141,218,195,175,233,228,192,244,179,194,251
23:00,123,96,131,144,86,139,136,92,143,108,95,131,137,102,153,160,145,165,172,159,176
TOTAL,6283,6347,7275,8344,9206,10287,8401,9130,10247,8220,8929,10178,8043,9125,10159,8848,9336,10144,6968,7042,8195
