112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,October 05 2014,,October 06 2014,,October 07 2014,,October 08 2014,,October 09 2014,,October 10 2014,,October 11 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,41,67,21,28,27,27,25,22,27,43,26,38,36,33
1:00,35,43,13,15,11,18,14,21,14,25,21,22,16,35
2:00,25,15,9,9,8,12,7,8,9,15,17,18,14,21
3:00,13,15,4,7,11,3,5,10,4,3,3,15,16,25
4:00,8,11,2,12,6,12,3,8,5,9,5,19,13,16
5:00,9,8,13,33,18,38,13,30,16,36,11,34,11,16
6:00,13,13,45,54,50,70,42,64,48,76,52,76,14,12
7:00,17,34,114,162,134,163,118,157,121,167,128,151,29,54
8:00,26,59,214,234,236,268,232,285,249,261,198,230,63,114
9:00,64,214,143,210,165,224,164,212,141,197,124,200,87,200
10:00,106,202,158,277,155,229,154,216,145,206,138,219,158,239
11:00,134,272,148,282,139,242,153,256,142,211,156,265,155,313
12:00,120,291,174,338,191,310,199,311,191,314,216,318,170,357
13:00,155,342,160,335,200,325,193,308,202,318,209,359,220,415
14:00,170,305,195,353,200,315,189,291,208,303,249,365,203,395
15:00,156,270,204,340,212,295,196,311,174,289,228,326,204,304
16:00,184,292,209,366,231,335,224,300,200,314,284,348,208,352
17:00,167,279,211,369,230,334,221,317,206,360,267,345,196,326
18:00,160,307,198,325,206,301,217,326,224,330,278,350,176,285
19:00,129,248,171,311,227,304,199,313,197,304,225,362,152,265
20:00,99,177,115,177,142,203,150,211,135,239,153,257,109,195
21:00,70,133,88,130,103,143,106,129,100,145,98,156,93,117
22:00,45,67,72,108,63,91,61,73,67,105,95,115,76,99
23:00,39,47,38,47,36,45,38,58,46,65,65,81,54,68
TOTAL,1985,3711,2719,4522,3001,4307,2923,4237,2871,4335,3246,4669,2473,4256
