112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,October 05 2014,October 06 2014,October 07 2014,October 08 2014,October 09 2014,October 10 2014,October 11 2014
EAST LEG,7695,9230,8990,8857,8925,9204,8267
NORTH LEG,19905,27837,27778,27327,27327,28328,22205
SOUTH LEG,19517,26033,25901,25440,26735,26543,20856
WEST LEG,5696,7241,7308,7160,7206,7915,6729
TOTAL,52813,70341,69977,68784,70193,71990,58057
