112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,June 22 2014,June 23 2014,June 24 2014,June 25 2014,June 26 2014,June 27 2014,June 28 2014
EAST LEG,6983,8785,8512,8968,8773,9088,7759
NORTH LEG,19550,27852,27866,28081,27751,28187,22307
SOUTH LEG,19643,25529,25352,26617,25879,25928,21038
WEST LEG,5527,6892,7020,7161,7167,7832,6299
TOTAL,51703,69058,68750,70827,69570,71035,57403
