112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,June 22 2014,,,June 23 2014,,,June 24 2014,,,June 25 2014,,,June 26 2014,,,June 27 2014,,,June 28 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,160,122,158,108,72,111,122,83,140,127,82,157,119,81,136,111,77,139,147,115,170
1:00,79,80,84,44,41,56,48,54,63,49,59,54,50,60,58,46,43,66,81,61,68
2:00,68,47,70,30,32,27,41,27,39,41,22,54,41,33,43,46,39,59,37,47,61
3:00,33,41,43,41,27,48,35,42,63,42,34,76,42,30,81,38,44,64,21,39,49
4:00,43,23,53,69,62,176,85,64,165,92,79,156,56,77,183,70,76,158,62,35,75
5:00,52,50,87,195,230,497,190,251,515,196,248,543,195,247,553,183,223,511,81,81,155
6:00,84,78,151,485,522,769,502,520,779,485,518,822,475,541,760,439,495,747,132,133,266
7:00,166,126,187,738,774,862,730,786,890,703,772,849,713,727,906,667,730,838,243,199,304
8:00,201,173,211,943,880,772,788,817,817,714,799,722,744,810,788,708,780,768,378,272,419
9:00,296,228,323,740,701,655,639,631,669,622,592,616,623,634,611,602,568,600,446,368,499
10:00,423,405,474,562,558,575,577,497,560,517,546,548,498,482,543,537,540,566,433,420,490
11:00,436,424,477,503,485,478,465,444,494,488,463,493,440,454,508,524,498,509,523,526,514
12:00,533,428,526,467,490,480,441,470,483,477,449,469,478,471,468,539,524,484,494,508,499
13:00,535,503,519,457,496,479,470,506,492,479,445,471,466,467,516,487,523,487,537,535,504
14:00,452,504,514,480,478,539,469,537,527,471,534,512,513,564,492,488,567,486,492,561,489
15:00,421,471,489,488,545,525,477,565,530,498,574,504,485,526,510,505,594,541,462,512,526
16:00,398,370,442,488,505,531,461,518,556,499,572,580,474,498,533,528,582,545,475,453,470
17:00,320,366,426,469,532,532,478,519,498,444,547,578,479,553,509,489,577,483,394,470,453
18:00,364,438,477,426,476,496,431,474,510,446,520,542,446,500,538,437,469,500,425,478,459
19:00,314,373,429,371,373,421,344,343,437,408,407,431,355,396,450,379,455,430,371,361,439
20:00,263,303,355,267,269,261,283,272,328,292,279,327,314,289,303,325,292,333,284,288,344
21:00,220,227,301,198,217,243,222,206,254,225,270,299,240,241,264,252,247,282,263,247,294
22:00,201,206,262,182,170,238,202,210,260,198,199,262,195,186,217,251,225,238,240,212,266
23:00,137,117,190,135,121,139,159,134,168,175,133,185,162,137,174,200,154,180,202,166,184
TOTAL,6199,6103,7248,8886,9056,9910,8659,8970,10237,8688,9143,10250,8603,9004,10144,8851,9322,10014,7223,7087,7997
