112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,April 20 2014,April 21 2014,April 22 2014,April 23 2014,April 24 2014,April 25 2014,April 26 2014
EAST LEG,6654,8822,8452,8919,8694,8916,7884
NORTH LEG,20034,27015,27438,27486,27929,29140,23378
SOUTH LEG,19527,25070,24693,25829,25942,26475,21910
WEST LEG,4860,7103,7133,7126,7203,8044,6590
TOTAL,51075,68010,67716,69360,69768,72575,59762
