112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,April 20 2014,,April 21 2014,,April 22 2014,,April 23 2014,,April 24 2014,,April 25 2014,,April 26 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,36,45,13,30,27,30,27,33,24,41,35,38,48,51
1:00,23,35,11,12,14,16,16,28,19,14,10,20,31,28
2:00,12,15,4,8,6,15,6,11,11,5,5,14,13,19
3:00,12,15,5,6,7,5,8,9,13,9,6,19,7,13
4:00,5,11,2,14,7,12,3,16,7,15,7,14,8,13
5:00,5,11,9,29,19,25,12,30,10,29,11,32,13,21
6:00,14,17,50,56,63,71,49,69,48,67,50,77,17,21
7:00,18,42,110,149,96,171,134,169,117,161,116,171,34,66
8:00,45,142,193,230,227,272,220,262,224,280,228,274,53,100
9:00,70,139,144,197,179,254,174,228,178,227,160,215,85,192
10:00,122,244,128,236,155,250,124,201,120,221,180,272,144,244
11:00,138,275,135,245,152,215,140,255,171,252,173,292,162,292
12:00,121,223,198,296,168,307,165,260,182,271,189,312,188,344
13:00,143,260,196,291,172,320,167,307,209,335,211,353,201,364
14:00,164,251,201,311,171,269,196,300,193,289,231,341,232,333
15:00,138,242,243,307,198,293,209,291,207,279,231,314,200,320
16:00,139,191,243,331,216,336,241,330,227,323,270,379,211,313
17:00,103,191,243,324,236,278,245,321,233,325,253,370,194,301
18:00,113,178,210,306,221,291,227,325,219,285,240,339,188,293
19:00,103,155,203,382,220,286,198,256,184,289,187,312,143,273
20:00,112,144,143,211,144,221,155,216,142,193,145,239,107,166
21:00,92,112,90,150,106,139,98,141,118,155,113,206,96,125
22:00,32,88,56,70,73,97,74,80,82,107,98,141,74,103
23:00,39,35,35,47,35,48,38,62,37,56,64,87,54,92
TOTAL,1799,3061,2865,4238,2912,4221,2926,4200,2975,4228,3213,4831,2503,4087
