112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,October 12 2014,,,October 13 2014,,,October 14 2014,,,October 15 2014,,,October 16 2014,,,October 17 2014,,,October 18 2014,,
TIME,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27
0:00,194,172,150,113,99,81,176,137,116,172,174,113,183,160,137,226,176,160,260,229,174
1:00,137,139,85,68,69,49,106,95,61,121,96,57,113,110,81,120,113,76,150,149,97
2:00,113,100,54,50,43,30,59,53,33,68,60,38,65,65,40,85,68,43,89,94,77
3:00,89,84,47,38,40,29,55,63,26,71,49,38,62,64,38,69,63,34,72,90,68
4:00,69,51,30,54,41,29,52,57,21,71,69,38,61,64,27,75,72,34,70,53,43
5:00,48,46,26,104,93,65,123,98,67,110,98,77,123,110,69,105,102,75,63,59,42
6:00,83,79,45,232,222,170,261,236,160,279,213,185,254,214,182,251,229,167,106,89,68
7:00,100,90,53,340,292,242,345,301,254,373,323,216,351,305,248,330,311,219,136,103,86
8:00,109,99,67,413,320,262,422,362,276,413,330,267,461,362,279,407,336,268,176,150,118
9:00,184,143,92,367,258,251,372,260,232,332,278,224,350,262,252,359,305,249,296,218,198
10:00,258,203,155,414,274,277,407,285,262,406,287,253,389,294,295,426,306,267,347,296,245
11:00,324,308,248,392,341,323,444,296,300,396,274,286,399,398,370,440,368,303,408,392,284
12:00,406,390,283,476,379,372,458,364,371,449,351,335,466,392,379,466,379,363,496,424,358
13:00,527,498,411,493,448,424,506,372,407,472,393,417,511,441,413,543,432,453,564,536,456
14:00,508,518,451,585,504,485,600,443,489,533,471,450,585,508,471,609,527,473,613,603,519
15:00,470,412,323,617,598,572,646,592,553,433,557,520,635,616,560,619,615,611,565,566,463
16:00,432,369,316,595,604,580,720,731,691,543,638,649,791,739,694,735,721,677,606,596,524
17:00,467,413,348,761,796,772,727,813,774,426,743,710,772,832,781,720,812,702,621,585,486
18:00,539,498,443,745,845,759,762,869,819,757,855,791,732,812,780,698,838,778,583,605,493
19:00,502,459,368,649,696,569,715,783,686,728,799,680,697,779,697,695,750,678,550,514,464
20:00,442,378,295,484,452,376,567,501,420,553,522,468,600,554,511,573,596,528,464,450,403
21:00,325,288,244,383,351,311,417,393,318,455,408,337,448,433,348,455,396,339,436,350,274
22:00,209,203,127,264,268,207,337,319,256,377,340,286,341,290,248,381,359,292,392,334,278
23:00,188,178,129,203,196,158,243,202,155,261,211,173,261,214,180,300,285,239,333,330,206
TOTAL,6723,6118,4790,8840,8229,7393,9520,8625,7747,8799,8539,7608,9650,9018,8080,9687,9159,8028,8396,7815,6424
