112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,October 12 2014,October 13 2014,October 14 2014,October 15 2014,October 16 2014,October 17 2014,October 18 2014
EAST LEG,6503,8514,8765,8853,9135,9287,8554
NORTH LEG,17723,26242,27113,26935,28488,27989,23102
SOUTH LEG,17631,24462,25892,24946,26748,26874,22635
WEST LEG,5179,7095,7290,7164,7317,8002,6794
TOTAL,47036,66313,69060,67898,71688,72152,61085
