112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,August 10 2014,,August 11 2014,,August 12 2014,,August 13 2014,,August 14 2014,,August 15 2014,,August 16 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,67,85,44,52,39,44,36,58,49,56,50,66,82,97
1:00,61,70,28,31,31,45,41,40,24,40,41,38,48,39
2:00,40,42,11,16,20,19,21,19,15,29,19,23,29,37
3:00,26,33,9,12,11,18,12,19,10,18,19,25,27,30
4:00,10,5,8,13,8,11,13,9,13,13,18,21,25,20
5:00,12,21,16,33,12,28,25,28,13,29,11,28,13,18
6:00,18,12,45,46,61,47,54,45,57,53,55,48,17,23
7:00,30,26,90,108,100,121,108,112,107,106,95,110,36,45
8:00,40,53,112,163,130,142,129,158,140,159,107,131,66,86
9:00,69,92,147,188,151,171,144,159,126,166,150,162,112,147
10:00,128,178,160,205,172,210,134,198,183,195,189,236,170,228
11:00,221,286,220,246,191,249,198,223,227,249,245,302,249,264
12:00,218,296,239,283,227,291,245,272,253,274,263,312,273,322
13:00,272,321,264,325,290,339,267,329,266,310,302,332,306,306
14:00,289,323,290,331,270,285,260,293,362,365,290,325,315,323
15:00,266,318,282,312,285,305,307,302,339,350,314,321,240,221
16:00,247,322,302,359,286,339,366,315,347,369,357,396,273,297
17:00,243,287,394,420,382,381,414,436,413,420,384,379,285,310
18:00,251,274,437,444,458,396,452,425,437,417,408,433,248,278
19:00,156,204,286,344,301,346,349,341,315,349,325,352,220,264
20:00,150,206,208,235,225,241,219,247,232,268,194,231,202,229
21:00,130,150,164,201,170,178,182,201,187,205,149,177,160,160
22:00,105,117,105,131,122,131,118,141,131,138,134,150,128,132
23:00,83,85,87,86,80,76,80,86,71,77,105,106,103,106
TOTAL,3132,3806,3948,4584,4022,4413,4174,4456,4317,4655,4224,4704,3627,3982
