112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,August 10 2014,,,August 11 2014,,,August 12 2014,,,August 13 2014,,,August 14 2014,,,August 15 2014,,,August 16 2014,,
TIME,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27
0:00,266,256,195,197,153,121,199,171,133,205,185,126,219,192,137,214,202,156,310,283,208
1:00,176,166,118,104,85,51,108,124,79,127,110,71,131,116,87,114,140,75,211,184,136
2:00,105,108,84,54,57,36,65,52,50,67,78,44,83,67,47,70,71,60,127,103,76
3:00,92,87,50,55,38,27,55,44,28,71,65,20,67,54,37,79,77,40,72,80,49
4:00,58,49,27,44,56,33,71,61,30,75,67,29,54,64,36,47,56,33,67,63,44
5:00,68,53,27,95,98,68,115,103,77,121,101,57,143,116,84,114,96,73,64,55,42
6:00,87,76,52,278,250,195,297,268,207,304,248,197,283,261,204,264,227,182,91,94,67
7:00,100,89,54,343,263,230,377,270,229,351,270,239,374,293,237,330,263,241,157,120,86
8:00,147,103,85,402,314,291,381,300,261,394,320,245,393,297,247,385,298,247,184,145,113
9:00,168,172,123,376,253,244,385,263,227,383,266,238,373,268,230,359,282,219,261,197,172
10:00,304,293,200,403,291,261,385,261,285,386,260,267,407,276,259,348,299,288,353,302,246
11:00,362,316,258,465,335,331,397,316,281,433,312,310,427,312,294,441,346,310,422,347,320
12:00,424,357,320,459,384,388,475,355,354,484,367,349,457,347,364,472,398,392,484,466,399
13:00,504,463,445,531,427,453,536,390,414,529,389,403,502,380,422,542,454,462,509,527,417
14:00,534,481,419,562,458,466,537,449,453,544,438,480,553,463,473,591,529,512,564,523,481
15:00,528,458,403,630,543,588,641,559,553,602,595,561,632,586,549,611,599,605,463,518,483
16:00,548,479,366,728,746,667,607,644,670,670,690,680,725,682,648,694,725,675,407,551,500
17:00,540,481,419,631,778,734,593,697,739,721,797,746,715,827,733,613,804,717,634,556,459
18:00,596,485,393,869,852,788,708,834,767,606,821,758,742,856,786,720,786,770,600,529,437
19:00,678,420,352,766,673,596,717,707,684,726,735,678,721,720,644,669,702,650,645,471,394
20:00,596,395,349,509,451,411,508,499,431,549,478,406,592,548,464,538,502,390,473,442,370
21:00,369,330,292,424,385,325,412,372,285,470,439,359,466,436,364,447,405,352,398,376,341
22:00,326,290,259,343,288,245,354,303,224,393,295,287,354,348,283,408,346,268,419,377,308
23:00,266,247,197,264,243,201,253,231,168,276,239,222,293,252,203,354,326,262,342,327,254
TOTAL,7842,6654,5487,9532,8421,7750,9176,8273,7629,9487,8565,7772,9706,8761,7832,9424,8933,7979,8257,7636,6402
