112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,August 10 2014,,,August 11 2014,,,August 12 2014,,,August 13 2014,,,August 14 2014,,,August 15 2014,,,August 16 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,149,143,162,96,81,109,105,65,137,120,75,144,130,94,154,116,92,141,159,112,172
1:00,93,84,76,40,44,63,56,39,65,68,43,48,65,47,61,52,47,63,88,47,87
2:00,58,51,53,36,35,46,40,34,58,30,29,60,35,33,52,36,48,64,53,55,60
3:00,29,22,42,31,29,69,28,40,80,44,48,87,42,42,93,44,41,83,41,47,46
4:00,44,41,52,59,61,161,64,65,159,72,72,174,73,66,174,65,71,164,43,33,75
5:00,43,37,89,201,247,554,213,245,534,221,233,542,223,247,543,201,246,488,78,63,158
6:00,106,75,127,454,528,792,504,529,826,448,543,817,467,500,813,456,461,734,129,134,233
7:00,216,141,194,720,753,837,718,721,873,697,714,820,765,758,853,657,674,821,270,203,297
8:00,231,187,225,789,786,757,748,821,781,725,774,783,768,777,807,707,765,769,360,263,429
9:00,300,280,302,650,662,653,599,643,655,608,652,633,610,607,642,628,581,618,478,343,515
10:00,504,399,490,559,545,526,515,529,544,500,483,570,551,502,564,543,512,527,536,478,554
11:00,516,427,461,500,497,503,478,470,484,466,469,486,503,475,470,498,490,481,530,526,495
12:00,487,467,496,502,542,473,455,473,487,470,429,502,477,455,492,517,540,497,527,567,545
13:00,517,519,487,499,488,495,507,546,476,486,470,491,477,516,519,511,567,464,555,574,515
14:00,526,512,520,472,537,502,509,573,505,487,536,502,499,579,493,551,596,527,484,523,520
15:00,416,434,478,464,547,546,493,552,534,505,531,515,531,554,479,476,587,486,477,484,483
16:00,339,432,487,485,555,534,464,511,569,490,528,561,485,529,533,487,602,540,490,503,481
17:00,347,429,475,404,508,512,466,527,546,516,561,530,483,571,550,446,591,512,406,510,547
18:00,329,411,480,371,419,474,440,460,491,396,488,489,415,467,464,444,492,482,421,426,498
19:00,333,352,403,351,394,409,337,351,379,383,367,405,381,334,420,396,420,447,362,409,407
20:00,277,250,324,299,240,351,285,227,292,297,291,346,302,272,322,327,268,323,302,290,359
21:00,250,247,279,224,224,261,191,201,238,240,215,244,204,212,288,267,232,302,288,271,318
22:00,236,198,246,187,152,228,164,175,201,210,177,241,211,174,234,232,189,244,251,243,276
23:00,155,124,170,148,128,154,138,102,148,142,135,167,131,125,157,197,154,209,149,164,207
TOTAL,6501,6262,7118,8541,9002,10009,8517,8899,10062,8621,8863,10157,8828,8936,10177,8854,9266,9986,7477,7268,8277
