112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,August 10 2014,August 11 2014,August 12 2014,August 13 2014,August 14 2014,August 15 2014,August 16 2014
EAST LEG,6938,8532,8435,8630,8972,8928,7609
NORTH LEG,19881,27552,27478,27641,27941,28106,23022
SOUTH LEG,19983,25703,25078,25824,26299,26336,22295
WEST LEG,5554,7037,7217,7211,7295,7751,6422
TOTAL,52356,68824,68208,69306,70507,71121,59348
