112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,April 27 2014,April 28 2014,April 29 2014,April 30 2014,May 01 2014,May 02 2014,May 03 2014
EAST LEG,6938,8719,9210,9519,9597,9683,9641
NORTH LEG,17847,27663,28708,29824,29757,29650,23386
SOUTH LEG,16553,24971,27521,28003,28235,27466,22381
WEST LEG,5318,7467,7268,7406,7788,8173,7007
TOTAL,46656,68820,72707,74752,75377,74972,62415
