176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,December 07 2014,December 08 2014,December 09 2014,December 10 2014,December 11 2014,December 12 2014,December 13 2014
EAST LEG,11350,14332,14668,14722,15052,16209,14031
NORTH LEG,12845,19823,19604,20217,20496,21576,16810
SOUTH LEG,5994,10561,10655,10889,11217,11357,7854
WEST LEG,7048,9023,9484,9092,9903,10153,8959
TOTAL,37237,53739,54411,54920,56668,59295,47654
