176 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,December 07 2014,,,December 08 2014,,,December 09 2014,,,December 10 2014,,,December 11 2014,,,December 12 2014,,,December 13 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,82,113,85,59,82,54,65,123,86,65,145,92,104,121,78,80,140,83,107,140,97
1:00,34,51,28,35,34,27,10,58,33,17,54,37,22,46,33,31,57,34,53,93,49
2:00,32,42,21,14,33,21,17,52,44,20,54,46,38,49,47,36,42,38,33,58,35
3:00,20,19,12,15,44,25,14,41,41,23,34,44,25,41,30,29,45,39,19,41,18
4:00,21,33,27,84,84,64,32,99,80,80,95,84,81,107,86,83,92,73,31,43,28
5:00,46,50,33,288,292,215,133,360,274,262,288,259,276,257,248,269,272,257,71,92,53
6:00,70,102,51,398,492,436,304,551,419,383,504,436,384,510,402,358,426,373,82,149,112
7:00,105,159,119,487,682,623,479,688,607,489,702,599,474,702,618,470,679,594,176,257,179
8:00,127,159,111,474,682,635,446,689,617,466,672,636,432,673,641,463,635,583,196,269,203
9:00,207,246,167,386,492,458,350,517,438,376,520,426,367,540,451,369,534,417,273,335,247
10:00,306,371,286,350,458,408,301,421,335,352,426,376,355,424,374,341,471,398,348,410,358
11:00,278,366,288,310,404,358,302,382,290,317,378,352,300,366,321,342,442,375,317,431,336
12:00,323,367,300,308,373,289,281,333,286,292,361,326,290,345,320,279,421,375,376,428,372
13:00,343,424,334,280,372,331,318,353,342,299,392,340,270,380,337,266,454,393,381,443,317
14:00,312,370,304,304,399,339,313,380,353,358,349,336,283,374,317,306,433,397,369,482,366
15:00,251,290,220,338,442,430,331,418,380,307,433,401,320,457,393,351,493,466,340,492,323
16:00,251,304,222,367,420,436,352,456,430,366,423,406,376,428,417,404,501,466,358,434,330
17:00,234,329,210,357,441,414,325,418,427,340,464,469,353,429,473,395,530,464,355,499,365
18:00,274,430,304,320,364,326,296,395,384,334,406,345,300,403,349,340,527,412,324,482,380
19:00,197,292,216,232,245,207,240,321,259,250,319,240,256,357,273,268,387,289,269,384,247
20:00,163,192,135,148,215,143,160,202,149,130,202,146,240,333,177,221,278,194,178,265,150
21:00,113,176,114,107,153,125,111,171,113,160,165,107,175,226,168,163,189,135,152,200,126
22:00,94,128,84,129,125,102,83,162,94,130,137,90,110,157,105,164,168,120,142,201,122
23:00,83,118,77,59,116,64,77,112,81,87,113,85,95,105,82,118,143,96,128,181,110
TOTAL,3966,5131,3748,5849,7444,6530,5340,7702,6562,5903,7636,6678,5926,7830,6740,6146,8359,7071,5078,6809,4923
