112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,August 31 2014,September 01 2014,September 02 2014,September 03 2014,September 04 2014,September 05 2014,September 06 2014
EAST LEG,6605,6803,8956,8853,8990,10082,9379
NORTH LEG,17888,18156,27199,28202,29220,30512,24356
SOUTH LEG,17439,18214,25180,26554,27431,29034,23961
WEST LEG,5246,5042,7467,7392,7515,8327,6827
TOTAL,47178,48215,68802,71001,73156,77955,64523
