112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,August 31 2014,,,September 01 2014,,,September 02 2014,,,September 03 2014,,,September 04 2014,,,September 05 2014,,,September 06 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,126,99,137,104,110,91,66,60,79,102,76,115,97,78,127,111,85,136,163,141,149
1:00,74,49,73,58,55,65,58,33,53,42,41,53,47,41,55,47,39,48,72,66,86
2:00,52,36,46,35,41,45,22,35,39,26,32,56,31,31,43,29,43,50,38,39,54
3:00,31,39,31,32,29,36,20,28,60,38,43,68,29,41,75,39,46,66,24,50,64
4:00,29,34,35,29,40,54,60,72,188,76,74,181,85,81,196,77,70,191,47,35,85
5:00,49,33,79,60,56,95,188,240,529,197,244,571,189,245,563,191,230,515,74,81,145
6:00,83,82,107,96,84,158,509,555,801,500,540,823,540,581,801,534,527,747,152,143,238
7:00,149,102,157,184,135,190,725,786,881,727,755,854,762,762,871,735,725,837,269,231,324
8:00,172,144,189,200,176,227,737,816,709,743,823,799,831,872,820,808,867,789,358,311,444
9:00,257,202,246,273,237,265,621,624,644,665,676,664,767,734,658,789,760,694,506,444,531
10:00,417,365,414,329,302,394,498,532,520,600,568,576,604,592,572,708,719,586,530,641,579
11:00,456,433,397,394,405,414,477,501,489,472,507,510,512,528,513,598,652,556,582,677,527
12:00,462,432,445,430,335,467,460,477,407,446,417,384,510,529,517,505,567,492,582,610,508
13:00,479,449,436,490,443,445,452,487,463,444,482,461,473,543,460,480,522,462,558,618,494
14:00,446,469,475,454,486,513,498,586,495,453,507,502,481,572,499,468,570,505,527,574,487
15:00,427,419,467,388,439,445,483,539,459,451,542,498,495,627,542,501,570,523,473,552,515
16:00,370,435,394,394,446,504,492,575,517,500,601,555,452,619,587,462,661,598,395,549,513
17:00,340,391,428,352,433,456,472,608,482,492,604,551,395,657,613,414,655,597,353,559,646
18:00,338,358,398,330,375,567,407,485,460,436,611,573,375,598,613,383,631,642,406,526,590
19:00,342,323,363,276,337,471,375,378,420,350,419,451,333,345,399,431,530,529,382,452,448
20:00,303,256,270,237,248,278,269,294,307,280,315,342,246,236,250,374,342,390,340,300,354
21:00,243,193,272,218,222,257,197,229,244,225,209,275,215,228,243,252,291,297,254,261,299
22:00,178,167,230,190,139,223,162,167,230,180,172,248,234,215,305,222,215,258,234,225,294
23:00,159,141,166,116,108,146,142,93,133,146,91,152,157,116,167,166,156,207,206,173,199
TOTAL,5982,5651,6255,5669,5681,6806,8390,9200,9609,8591,9349,10262,8860,9871,10489,9324,10473,10715,7525,8258,8573
