176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,June 01 2014,,June 02 2014,,June 03 2014,,June 04 2014,,June 05 2014,,June 06 2014,,June 07 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,183,136,119,62,131,67,112,66,129,78,122,80,203,158
1:00,145,75,70,43,81,33,82,37,74,38,92,54,124,85
2:00,94,56,39,18,41,20,51,24,47,26,64,36,71,39
3:00,63,38,34,10,28,13,35,17,36,27,38,16,67,38
4:00,64,19,35,16,50,19,49,17,47,17,51,18,44,17
5:00,37,17,57,24,59,17,65,18,67,18,68,30,35,23
6:00,52,29,130,73,118,65,126,66,134,58,135,84,76,30
7:00,81,44,229,169,244,160,223,154,263,159,282,151,129,73
8:00,143,73,290,215,304,237,347,162,289,230,352,253,195,131
9:00,218,108,331,266,338,273,482,135,342,244,392,276,320,178
10:00,319,200,375,275,331,296,401,172,363,279,424,324,387,255
11:00,426,292,379,246,360,259,392,228,362,272,413,300,416,283
12:00,468,299,448,286,428,299,435,307,403,316,506,402,498,356
13:00,533,423,450,337,475,367,413,301,441,331,529,415,556,405
14:00,522,393,465,385,468,349,450,356,452,393,519,432,578,408
15:00,603,441,517,459,502,414,566,485,546,437,600,493,612,442
16:00,528,414,647,600,735,621,660,565,640,561,689,596,578,403
17:00,521,382,830,795,755,736,811,768,796,698,794,698,563,434
18:00,507,391,839,742,832,789,839,781,810,783,802,637,572,398
19:00,466,327,683,526,705,571,673,545,706,569,660,510,522,328
20:00,412,281,485,336,510,363,494,333,491,364,513,354,425,299
21:00,348,239,395,261,404,266,422,314,408,340,451,305,356,250
22:00,252,176,281,198,265,199,339,269,333,247,391,304,331,248
23:00,199,118,185,135,194,111,209,129,221,164,277,194,314,189
TOTAL,7184,4971,8313,6477,8358,6544,8676,6249,8400,6649,9164,6962,7972,5470
