176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,October 26 2014,,October 27 2014,,October 28 2014,,October 29 2014,,October 30 2014,,October 31 2014,,November 01 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,218,166,65,36,92,71,102,54,119,67,101,75,209,115
1:00,138,80,57,29,65,32,59,40,76,27,75,37,145,92
2:00,98,58,41,19,39,12,43,11,64,27,48,27,102,56
3:00,58,42,24,9,29,17,37,28,35,13,36,19,87,37
4:00,33,23,29,20,50,17,44,14,56,14,42,16,41,18
5:00,34,12,57,20,56,23,57,40,62,33,66,30,57,28
6:00,41,31,141,57,146,56,136,66,132,59,138,59,84,28
7:00,80,44,232,148,239,159,254,178,237,198,275,168,107,47
8:00,127,58,309,238,317,234,333,247,336,258,327,257,157,95
9:00,203,108,326,238,332,256,355,250,359,235,367,280,250,157
10:00,329,223,335,249,300,233,322,215,345,239,375,285,337,229
11:00,355,250,380,271,362,230,314,243,334,242,410,288,412,310
12:00,395,254,408,318,397,271,401,263,441,274,479,361,506,365
13:00,394,278,409,326,437,295,454,343,435,310,471,408,568,446
14:00,527,359,443,340,452,339,472,382,474,319,556,465,559,408
15:00,529,398,544,438,533,417,547,462,559,439,661,586,598,477
16:00,495,372,672,557,638,572,666,578,651,575,787,693,650,466
17:00,509,392,784,745,783,725,783,781,800,742,805,800,594,430
18:00,448,334,843,774,798,749,813,750,795,732,837,793,605,429
19:00,447,310,751,617,660,628,709,573,669,556,828,686,585,370
20:00,390,227,408,288,445,381,457,307,496,404,556,380,436,316
21:00,264,178,302,204,344,250,356,255,354,264,423,280,347,231
22:00,164,103,228,160,236,193,274,188,283,230,316,201,268,228
23:00,145,96,153,82,144,107,159,117,174,133,272,191,185,153
TOTAL,6421,4396,7941,6183,7894,6267,8147,6385,8286,6390,9251,7385,7889,5531
