176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,October 26 2014,October 27 2014,October 28 2014,October 29 2014,October 30 2014,October 31 2014,November 01 2014
EAST LEG,10817,14124,14161,14532,14676,16636,13420
NORTH LEG,12492,19572,19771,20121,20074,21382,16035
SOUTH LEG,5871,10651,10948,11123,11101,11209,7142
WEST LEG,6721,8509,8842,9372,9239,10425,8456
TOTAL,35901,52856,53722,55148,55090,59652,45053
