176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,June 15 2014,June 16 2014,June 17 2014,June 18 2014,June 19 2014,June 20 2014,June 21 2014
EAST LEG,11807,13881,13825,14356,14318,14943,13440
NORTH LEG,13854,19651,20118,20654,20775,20888,16771
SOUTH LEG,6360,10875,11349,11427,11399,10975,7613
WEST LEG,7163,8600,8361,8631,8767,9262,8248
TOTAL,39184,53007,53653,55068,55259,56068,46072
