176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,June 15 2014,,June 16 2014,,June 17 2014,,June 18 2014,,June 19 2014,,June 20 2014,,June 21 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,138,105,93,89,102,116,112,106,117,118,123,93,159,122
1:00,86,50,40,27,50,31,61,40,67,45,68,33,101,57
2:00,66,33,31,21,44,17,51,21,63,23,31,21,67,37
3:00,43,19,23,12,47,9,45,19,30,24,46,15,46,21
4:00,29,16,29,44,54,48,50,54,52,42,50,48,27,24
5:00,41,17,127,92,144,107,131,105,124,112,116,110,55,41
6:00,72,53,293,324,296,344,314,327,287,327,249,292,129,101
7:00,58,52,303,311,260,304,250,324,261,307,253,280,88,57
8:00,49,32,271,225,282,242,336,305,323,295,287,247,90,72
9:00,82,45,223,160,211,173,206,150,203,165,208,158,133,93
10:00,107,66,226,166,218,147,224,168,242,160,201,135,135,73
11:00,130,107,233,161,191,150,214,159,239,161,237,157,185,121
12:00,162,119,254,205,251,214,256,186,252,197,264,215,242,157
13:00,235,173,287,250,309,274,308,245,289,252,306,246,277,185
14:00,269,221,317,325,348,297,324,308,365,342,309,333,266,230
15:00,256,203,389,389,393,414,353,412,376,395,389,401,322,272
16:00,262,210,450,382,458,395,432,380,413,391,427,402,315,244
17:00,265,198,479,417,520,455,491,436,481,448,470,399,297,207
18:00,287,211,528,469,556,477,555,444,543,462,497,421,307,235
19:00,283,200,398,304,437,343,417,348,374,312,432,300,285,225
20:00,275,176,265,201,298,231,298,248,316,246,286,233,276,204
21:00,190,138,220,156,237,177,253,194,245,195,274,201,229,144
22:00,144,111,181,135,208,151,239,189,215,171,194,145,212,135
23:00,133,143,178,172,169,150,167,172,183,149,204,169,181,132
TOTAL,3662,2698,5838,5037,6083,5266,6087,5340,6060,5339,5921,5054,4424,3189
