176 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,June 15 2014,,,June 16 2014,,,June 17 2014,,,June 18 2014,,,June 19 2014,,,June 20 2014,,,June 21 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,102,142,103,44,71,52,92,127,90,83,121,93,96,119,89,95,120,91,108,141,108
1:00,54,67,55,23,37,25,28,49,39,40,54,25,27,47,41,38,49,33,40,76,49
2:00,38,43,34,18,24,15,23,35,31,30,36,32,32,39,20,24,37,37,28,42,36
3:00,17,42,26,24,28,20,24,46,27,29,45,40,21,46,31,21,48,28,29,28,18
4:00,16,28,23,70,86,62,65,78,68,55,95,70,58,85,76,60,83,65,32,55,46
5:00,34,49,18,236,259,199,209,272,199,226,286,232,232,263,225,212,250,198,49,86,62
6:00,48,70,53,377,513,402,372,492,419,378,487,419,395,489,406,375,466,382,108,132,100
7:00,88,116,97,449,664,546,483,675,593,469,669,596,497,655,573,481,627,521,156,240,175
8:00,116,139,97,413,646,537,432,662,551,450,630,534,416,638,543,443,612,562,197,313,242
9:00,185,225,175,354,488,397,360,519,453,353,497,407,326,525,437,336,439,395,284,443,308
10:00,261,378,262,329,434,369,281,431,349,314,420,343,333,468,364,345,473,383,319,503,348
11:00,286,385,253,274,390,355,290,398,327,292,387,339,331,438,387,299,428,333,342,421,345
12:00,319,377,293,290,420,339,300,394,344,279,374,338,278,412,323,320,432,402,303,471,350
13:00,364,462,340,291,417,348,308,385,332,283,384,365,297,397,347,355,445,314,316,426,314
14:00,310,406,317,323,416,350,301,422,363,291,398,325,318,418,371,314,422,365,372,455,333
15:00,329,412,306,317,437,402,332,456,404,324,480,427,388,448,447,360,505,430,304,449,310
16:00,250,360,287,339,416,416,371,479,422,398,555,484,378,520,435,391,492,430,348,414,312
17:00,270,356,267,360,423,393,334,452,448,369,499,415,405,503,422,355,437,405,378,440,287
18:00,290,353,300,341,397,305,324,406,368,378,428,341,357,422,348,354,413,361,399,396,255
19:00,237,287,249,308,347,265,256,288,268,326,380,285,300,332,293,269,377,325,297,383,250
20:00,219,262,205,196,228,171,187,225,181,188,220,204,184,261,220,220,305,222,248,253,182
21:00,168,243,180,143,190,133,145,168,140,172,203,170,155,176,142,175,193,158,194,216,186
22:00,131,180,144,109,146,121,120,146,104,140,172,125,106,164,133,155,214,137,150,196,157
23:00,71,111,74,90,144,90,104,142,110,109,143,106,89,131,87,138,179,130,93,191,134
TOTAL,4203,5493,4158,5718,7621,6312,5741,7747,6630,5976,7963,6715,6019,7996,6760,6135,8046,6707,5094,6770,4907
