176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,July 06 2014,,July 07 2014,,July 08 2014,,July 09 2014,,July 10 2014,,July 11 2014,,July 12 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,71,93,68,72,71,82,91,82,81,90,101,96,119,118
1:00,35,54,28,31,32,46,46,58,41,60,56,57,66,80
2:00,28,32,21,22,23,22,29,26,19,26,20,38,33,44
3:00,23,17,18,16,17,19,13,19,21,21,13,25,22,33
4:00,13,16,15,17,13,14,13,22,15,21,17,15,15,22
5:00,4,13,23,29,25,23,37,29,27,31,36,46,7,17
6:00,16,29,107,145,128,156,138,171,126,149,102,114,28,49
7:00,23,24,167,195,170,222,166,227,166,225,159,223,75,74
8:00,50,66,172,205,199,225,176,227,205,213,172,227,90,98
9:00,90,100,142,154,165,178,161,193,176,158,156,175,106,131
10:00,153,149,149,168,179,195,157,162,156,177,164,195,180,189
11:00,193,217,148,178,169,190,170,192,186,185,190,204,228,243
12:00,195,219,191,214,206,225,193,212,220,221,223,220,242,296
13:00,260,271,224,264,234,258,240,267,248,266,236,271,294,322
14:00,278,260,226,260,263,248,227,256,237,254,278,288,286,277
15:00,243,280,267,301,280,262,272,296,294,285,300,307,304,287
16:00,250,282,333,311,315,341,296,327,344,317,331,348,289,310
17:00,245,262,377,369,365,376,366,367,369,397,386,387,278,314
18:00,223,252,319,328,330,386,351,389,360,391,390,355,251,315
19:00,214,256,330,392,304,384,355,404,316,361,334,349,235,293
20:00,191,243,227,316,222,299,264,299,257,334,265,301,231,290
21:00,175,195,174,221,209,232,210,230,214,258,243,275,219,241
22:00,132,148,142,174,167,181,157,189,181,194,204,213,184,187
23:00,123,90,99,122,109,123,124,130,119,136,159,172,162,173
TOTAL,3228,3568,3967,4504,4195,4687,4252,4774,4378,4770,4535,4901,3944,4403
