176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,July 06 2014,July 07 2014,July 08 2014,July 09 2014,July 10 2014,July 11 2014,July 12 2014
EAST LEG,11056,13998,14627,14569,14808,15432,13349
NORTH LEG,13152,19888,21273,21251,21345,21394,16434
SOUTH LEG,5618,10574,10873,11196,11165,10711,7587
WEST LEG,6796,8471,8882,9026,9148,9436,8347
TOTAL,36622,52931,55655,56042,56466,56973,45717
