176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,December 28 2014,,December 29 2014,,December 30 2014,,December 31 2014,,January 01 2015,,January 02 2015,,January 03 2015,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,108,54,81,43,88,45,92,47,96,53,70,63,118,106
1:00,84,43,51,28,52,33,68,29,100,79,51,23,74,41
2:00,67,26,49,22,35,15,46,13,113,62,38,12,76,38
3:00,55,23,30,16,32,13,28,17,68,43,23,10,45,24
4:00,21,16,29,24,46,12,38,18,41,19,21,18,28,23
5:00,37,23,78,51,82,53,68,44,38,20,56,58,43,16
6:00,71,75,239,158,248,140,224,132,72,44,151,156,89,56
7:00,52,24,226,171,243,176,227,157,40,9,176,148,67,45
8:00,47,21,231,163,265,177,210,157,49,25,189,131,76,34
9:00,66,49,204,126,183,113,174,99,58,31,156,107,93,74
10:00,88,56,240,112,212,122,202,120,98,36,152,115,103,72
11:00,153,81,275,139,222,142,229,135,109,47,196,132,159,116
12:00,156,115,280,180,267,175,308,177,141,85,233,177,206,149
13:00,215,167,296,223,302,235,323,275,164,110,271,200,253,182
14:00,220,183,320,266,353,286,355,289,194,114,303,274,269,194
15:00,205,140,347,354,359,383,389,421,221,174,365,341,265,221
16:00,182,100,405,362,416,364,448,393,184,147,397,340,301,225
17:00,199,137,476,407,481,411,486,399,236,167,433,363,297,233
18:00,281,191,544,455,529,417,451,343,236,137,477,369,310,238
19:00,227,154,390,295,381,313,289,238,199,142,351,252,268,172
20:00,176,137,240,170,274,200,255,170,170,99,233,168,208,146
21:00,156,104,169,130,198,153,182,109,150,95,198,135,175,113
22:00,127,89,160,104,159,120,139,84,115,83,159,103,165,106
23:00,108,65,128,69,137,71,135,61,84,90,144,90,169,104
TOTAL,3101,2073,5488,4068,5564,4169,5366,3927,2976,1911,4843,3785,3857,2728
