176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,December 28 2014,December 29 2014,December 30 2014,December 31 2014,January 01 2015,January 02 2015,January 03 2015
EAST LEG,9959,13745,13842,15053,9553,13375,12097
NORTH LEG,11412,18587,19099,19244,10741,17432,14345
SOUTH LEG,5174,9556,9733,9293,4887,8628,6585
WEST LEG,6068,8292,8624,9091,5820,8160,7655
TOTAL,32613,50180,51298,52681,31001,47595,40682
