112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,May 18 2014,May 19 2014,May 20 2014,May 21 2014,May 22 2014,May 23 2014,May 24 2014
EAST LEG,7340,8957,9223,8979,9170,9069,7985
NORTH LEG,18790,27982,29468,28768,29002,27901,21121
SOUTH LEG,18428,25404,27839,26864,27443,25848,20158
WEST LEG,5587,7257,7345,7367,7568,8052,6328
TOTAL,50145,69600,73875,71978,73183,70870,55592
