176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,August 10 2014,,August 11 2014,,August 12 2014,,August 13 2014,,August 14 2014,,August 15 2014,,August 16 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,119,120,66,78,67,82,83,80,76,88,81,85,101,107
1:00,65,72,39,42,33,41,33,47,47,54,39,43,69,84
2:00,44,29,14,19,17,18,24,26,17,25,18,27,36,39
3:00,22,35,12,23,17,22,19,25,17,23,19,33,15,32
4:00,16,22,9,16,18,24,9,22,18,26,19,14,15,29
5:00,20,21,33,25,36,46,40,31,36,37,39,45,21,17
6:00,25,27,140,148,126,159,126,153,122,144,101,136,33,39
7:00,48,46,197,224,200,219,208,214,192,204,162,194,52,54
8:00,72,64,197,218,184,252,228,254,203,247,218,210,91,93
9:00,110,82,158,174,137,164,179,183,175,177,174,185,119,121
10:00,154,138,153,163,157,170,136,176,174,158,143,168,164,195
11:00,203,210,187,199,175,169,154,174,189,201,212,193,250,230
12:00,203,255,252,215,142,225,183,220,227,203,213,228,260,264
13:00,276,283,260,270,210,221,208,234,233,235,235,242,280,278
14:00,254,275,245,243,227,250,246,235,231,255,255,319,306,283
15:00,243,267,261,285,261,283,234,276,292,294,301,307,288,292
16:00,277,280,315,343,280,345,318,341,334,359,343,375,294,306
17:00,282,257,342,335,330,341,364,389,387,413,359,389,265,325
18:00,235,280,346,335,307,324,326,365,345,373,353,397,272,311
19:00,249,263,272,310,296,334,339,340,292,338,326,352,250,286
20:00,207,222,204,229,222,232,207,235,253,313,238,319,220,247
21:00,180,229,198,275,165,180,227,241,219,226,216,226,207,232
22:00,121,168,146,169,142,122,168,165,160,190,200,206,182,181
23:00,92,106,90,104,116,89,101,106,112,122,143,170,128,142
TOTAL,3517,3751,4136,4442,3865,4312,4160,4532,4351,4705,4407,4863,3918,4187
