176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,August 10 2014,August 11 2014,August 12 2014,August 13 2014,August 14 2014,August 15 2014,August 16 2014
EAST LEG,11922,13831,13360,13983,14162,14663,12806
NORTH LEG,14090,19712,19616,19916,20004,20113,15827
SOUTH LEG,6352,10874,10811,11095,11121,10541,7320
WEST LEG,7268,8578,8177,8692,9056,9270,8105
TOTAL,39632,52995,51964,53686,54343,54587,44058
