176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,August 17 2014,August 18 2014,August 19 2014,August 20 2014,August 21 2014,August 22 2014,August 23 2014
EAST LEG,11631,14118,13997,14175,14327,14934,12861
NORTH LEG,14227,19944,20678,20530,20782,20561,16021
SOUTH LEG,6444,10869,11072,11229,11282,10462,7635
WEST LEG,7294,8761,8938,9035,9096,9502,8141
TOTAL,39596,53692,54685,54969,55487,55459,44658
