176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,August 17 2014,,August 18 2014,,August 19 2014,,August 20 2014,,August 21 2014,,August 22 2014,,August 23 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,136,102,87,91,94,101,119,101,127,112,113,93,184,119
1:00,88,58,69,35,65,41,61,34,61,39,75,57,99,52
2:00,60,29,23,15,61,22,51,35,55,26,71,26,54,38
3:00,46,17,27,10,40,22,39,15,40,18,53,21,49,14
4:00,28,17,42,39,49,40,42,47,41,38,39,35,35,37
5:00,28,23,99,107,114,120,113,122,103,117,92,111,55,61
6:00,65,30,327,310,332,343,349,342,344,366,267,262,110,98
7:00,68,35,249,277,250,298,286,285,260,277,222,264,83,77
8:00,71,35,273,199,282,245,286,230,278,213,262,205,80,47
9:00,82,65,217,165,215,137,212,156,205,181,192,157,106,63
10:00,108,83,209,162,210,137,184,174,195,152,180,161,163,91
11:00,168,146,231,180,241,166,204,180,206,189,214,163,187,140
12:00,210,219,248,208,283,217,249,194,214,215,306,220,227,176
13:00,251,224,274,243,299,246,283,226,314,264,282,232,262,210
14:00,256,213,328,324,272,270,338,314,306,297,336,321,262,210
15:00,251,190,391,419,374,417,364,388,399,379,404,380,327,290
16:00,272,203,434,402,424,380,442,369,432,415,392,358,337,263
17:00,229,162,476,428,508,422,502,450,514,450,372,290,299,194
18:00,271,201,560,490,567,492,541,491,491,432,491,424,323,221
19:00,235,190,399,317,407,351,403,356,418,389,387,305,278,190
20:00,228,159,289,211,299,202,292,208,276,236,292,218,226,178
21:00,196,152,236,163,240,193,250,178,264,207,238,159,239,159
22:00,144,113,152,125,177,123,221,166,214,156,201,145,221,157
23:00,143,144,158,151,135,149,183,154,192,165,216,158,189,155
TOTAL,3634,2810,5798,5071,5938,5134,6014,5215,5949,5333,5697,4765,4395,3240
