176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,December 21 2014,December 22 2014,December 23 2014,December 24 2014,December 25 2014,December 26 2014,December 27 2014
EAST LEG,11786,14739,15553,15849,9517,12144,11396
NORTH LEG,13372,20226,20549,18797,12146,15370,13562
SOUTH LEG,6202,10624,10415,8937,5428,7080,6046
WEST LEG,7507,9394,9772,10064,5934,7373,7083
TOTAL,38867,54983,56289,53647,33025,41967,38087
