176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,December 21 2014,,December 22 2014,,December 23 2014,,December 24 2014,,December 25 2014,,December 26 2014,,December 27 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,132,122,55,62,84,86,105,101,92,106,57,57,77,91
1:00,87,108,31,44,49,63,61,82,63,70,45,44,55,55
2:00,50,54,19,22,33,32,26,29,29,27,18,17,46,34
3:00,18,31,15,13,20,16,22,39,16,21,10,16,28,20
4:00,22,16,8,19,18,23,21,30,11,13,7,21,8,24
5:00,9,19,37,37,30,43,32,27,8,10,13,11,14,22
6:00,22,33,94,141,108,117,80,92,11,19,28,30,22,15
7:00,33,28,118,179,143,179,106,122,26,26,59,50,28,34
8:00,64,62,174,207,160,206,130,178,26,41,71,88,60,51
9:00,118,121,171,167,160,184,155,145,76,94,83,101,74,73
10:00,153,163,165,191,138,190,160,190,119,120,104,131,121,129
11:00,203,226,182,233,196,225,217,243,147,166,166,188,155,170
12:00,233,245,244,252,253,297,316,355,161,196,201,224,216,222
13:00,288,314,268,294,266,270,347,369,217,268,252,262,231,247
14:00,277,299,298,308,282,309,370,391,240,232,286,281,255,278
15:00,277,337,315,353,321,327,388,438,202,239,278,320,288,333
16:00,291,304,362,408,341,387,361,453,208,215,314,329,289,322
17:00,297,321,397,388,377,408,390,436,199,217,315,376,281,289
18:00,268,287,399,460,387,457,362,400,186,180,326,363,306,346
19:00,198,182,353,366,351,424,296,312,186,188,271,277,266,250
20:00,170,168,254,273,276,330,243,228,204,194,191,240,185,205
21:00,136,165,209,218,259,274,216,240,172,183,159,185,181,180
22:00,172,190,182,157,169,186,240,203,152,163,142,153,144,139
23:00,84,110,133,119,165,153,152,165,95,100,105,108,118,106
TOTAL,3602,3905,4483,4911,4586,5186,4796,5268,2846,3088,3501,3872,3448,3635
