176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,December 21 2014,,December 22 2014,,December 23 2014,,December 24 2014,,December 25 2014,,December 26 2014,,December 27 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,164,142,111,83,140,81,142,81,161,138,121,64,126,112
1:00,148,121,75,39,88,50,81,66,118,75,72,34,93,65
2:00,113,84,43,33,68,27,50,46,75,43,56,36,54,46
3:00,65,37,44,18,35,20,39,25,37,17,30,14,39,35
4:00,42,26,34,12,42,14,42,24,30,8,22,13,35,25
5:00,36,22,48,23,53,30,51,32,12,5,42,20,35,22
6:00,49,36,128,65,149,51,105,58,34,14,70,41,52,36
7:00,86,39,172,110,178,119,153,84,45,23,132,61,78,69
8:00,115,76,237,184,242,196,246,190,96,45,189,132,140,99
9:00,225,114,264,201,254,196,291,184,179,86,214,157,186,107
10:00,325,217,342,243,340,258,389,272,286,130,295,206,295,184
11:00,432,288,400,307,404,293,518,372,346,212,386,244,370,244
12:00,479,328,500,392,489,372,610,482,370,397,469,323,444,276
13:00,573,398,533,460,542,426,707,564,450,262,489,342,500,344
14:00,593,456,557,494,604,449,724,602,459,297,497,371,522,366
15:00,559,406,587,533,646,510,747,571,458,296,561,420,504,363
16:00,528,364,686,571,670,567,774,645,450,264,609,458,528,380
17:00,540,416,744,683,751,723,725,559,397,240,631,455,495,370
18:00,476,383,784,662,792,734,648,444,365,237,579,450,557,429
19:00,314,209,649,516,659,589,519,399,323,225,492,381,449,350
20:00,294,206,420,316,532,448,411,297,355,243,343,251,396,275
21:00,253,156,371,234,414,347,419,316,307,213,314,230,274,213
22:00,307,225,289,199,314,253,357,324,232,174,273,218,252,207
23:00,184,137,208,135,223,171,260,204,165,123,188,149,217,138
TOTAL,6900,4886,8226,6513,8629,6924,9008,6841,5750,3767,7074,5070,6641,4755
