112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,May 25 2014,May 26 2014,May 27 2014,May 28 2014,May 29 2014,May 30 2014,May 31 2014
EAST LEG,6975,6167,8943,8906,9167,9898,8830
NORTH LEG,17238,17214,28294,28414,28362,30607,24692
SOUTH LEG,16689,16780,25733,25935,26815,29137,24019
WEST LEG,5181,4761,7270,7196,7494,8251,6875
TOTAL,46083,44922,70240,70451,71838,77893,64416
