112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,May 25 2014,,May 26 2014,,May 27 2014,,May 28 2014,,May 29 2014,,May 30 2014,,May 31 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,33,44,21,38,24,31,23,39,36,39,28,45,41,60
1:00,31,41,14,15,19,21,16,20,22,31,16,27,31,49
2:00,21,18,18,21,4,7,7,7,12,12,9,20,14,30
3:00,11,9,7,6,7,6,15,11,6,7,11,15,12,12
4:00,10,8,4,9,9,11,7,17,8,12,6,14,5,9
5:00,3,15,5,8,7,39,17,35,21,33,18,33,11,13
6:00,9,15,8,18,45,60,47,68,48,77,49,77,23,25
7:00,13,32,18,41,130,174,134,168,140,166,111,147,34,63
8:00,32,45,27,44,209,263,202,250,192,252,197,235,57,106
9:00,54,168,48,90,150,188,162,231,157,218,146,218,105,200
10:00,96,169,81,135,150,249,131,193,146,210,161,236,124,243
11:00,114,260,99,159,151,244,150,274,180,242,177,306,177,305
12:00,142,257,123,251,181,321,176,296,168,308,173,341,213,351
13:00,164,297,145,246,189,303,201,314,211,336,207,383,228,363
14:00,177,286,153,269,195,320,193,315,217,299,226,353,216,361
15:00,174,271,185,270,196,293,205,280,222,299,229,340,236,357
16:00,167,240,157,256,242,333,238,300,233,313,310,392,203,328
17:00,147,240,150,227,231,327,224,324,249,348,294,367,220,315
18:00,137,206,136,206,239,332,243,310,226,327,280,371,174,278
19:00,117,205,131,190,193,291,214,291,208,279,198,332,152,234
20:00,88,165,98,167,162,213,151,191,147,219,150,231,119,184
21:00,85,108,64,145,111,153,100,150,112,178,119,232,111,156
22:00,60,86,66,92,61,105,64,100,81,121,87,147,84,115
23:00,40,71,46,54,37,44,39,53,54,72,81,106,57,71
TOTAL,1925,3256,1804,2957,2942,4328,2959,4237,3096,4398,3283,4968,2647,4228
