176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,August 31 2014,,September 01 2014,,September 02 2014,,September 03 2014,,September 04 2014,,September 05 2014,,September 06 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,149,100,149,80,119,65,113,52,133,62,123,80,185,116
1:00,109,72,98,63,56,33,66,22,71,37,78,32,119,81
2:00,72,41,65,24,50,30,51,21,62,28,58,38,98,49
3:00,61,30,37,26,22,10,31,17,21,13,35,17,61,28
4:00,40,23,44,21,30,11,50,14,45,19,43,19,53,23
5:00,36,23,52,21,63,20,63,28,69,20,76,24,42,18
6:00,37,35,62,43,102,51,134,68,140,66,123,66,66,34
7:00,71,38,92,41,206,131,228,151,235,149,234,157,96,51
8:00,135,42,154,76,296,219,333,260,362,329,402,282,244,131
9:00,181,88,236,139,277,216,319,258,352,290,373,305,342,212
10:00,308,172,307,191,276,209,368,242,361,242,385,280,406,271
11:00,376,272,363,219,372,273,344,247,366,252,399,279,442,297
12:00,415,303,439,339,430,314,440,291,420,306,420,313,586,407
13:00,461,322,519,353,472,342,444,334,439,295,466,353,559,413
14:00,492,364,493,393,489,360,465,355,498,386,509,393,568,444
15:00,513,359,498,357,551,441,536,456,592,492,541,490,582,422
16:00,509,363,531,403,666,548,664,546,651,557,683,563,590,422
17:00,501,347,520,398,761,742,592,750,854,802,806,742,568,394
18:00,469,344,444,285,798,739,794,729,864,796,846,735,577,391
19:00,457,357,464,284,780,678,719,589,712,584,753,607,560,366
20:00,389,257,369,242,501,379,466,361,406,282,520,381,459,322
21:00,349,234,333,201,362,282,403,307,336,241,468,342,434,301
22:00,245,186,235,151,290,225,295,204,359,257,337,216,281,231
23:00,188,108,156,101,169,118,178,122,209,146,270,194,249,163
TOTAL,6563,4480,6660,4451,8138,6436,8096,6424,8557,6651,8948,6908,8167,5587
