176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,August 31 2014,,September 01 2014,,September 02 2014,,September 03 2014,,September 04 2014,,September 05 2014,,September 06 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,96,95,65,76,42,55,64,75,69,107,74,85,121,127
1:00,46,59,37,49,24,30,36,34,35,43,45,37,77,69
2:00,38,29,29,30,10,15,25,20,19,24,18,31,35,48
3:00,19,32,7,19,12,10,16,26,16,18,16,21,18,30
4:00,5,30,10,16,18,20,13,19,16,15,21,18,18,18
5:00,10,16,18,18,32,33,41,32,33,46,33,30,18,9
6:00,18,34,24,36,127,165,127,157,129,165,109,168,31,57
7:00,26,28,42,46,199,246,207,264,231,268,211,261,69,78
8:00,54,57,58,46,235,273,238,259,276,355,278,343,100,115
9:00,108,84,77,77,169,163,238,262,252,263,228,230,167,122
10:00,148,155,119,105,162,174,215,228,245,208,227,199,184,180
11:00,175,196,149,188,176,201,187,199,208,226,199,227,247,259
12:00,193,221,227,258,225,237,229,246,260,228,247,244,315,286
13:00,234,254,262,258,243,283,240,255,261,267,256,255,292,318
14:00,285,279,230,283,275,283,249,285,257,241,313,269,283,316
15:00,255,297,272,311,297,327,305,302,326,338,352,317,295,320
16:00,256,269,291,313,349,380,355,382,345,397,433,387,306,306
17:00,262,310,255,304,340,391,392,412,409,418,459,420,309,306
18:00,223,278,250,296,372,358,352,367,417,400,427,407,320,331
19:00,225,269,238,346,292,343,326,414,295,354,419,411,265,373
20:00,198,242,204,262,249,310,234,276,197,222,263,314,251,281
21:00,200,202,168,234,224,206,195,263,200,215,260,257,240,270
22:00,129,149,140,137,149,155,149,131,163,194,183,195,195,202
23:00,91,89,79,68,84,93,98,85,114,89,145,144,159,147
TOTAL,3294,3674,3251,3776,4305,4751,4531,4993,4773,5101,5216,5270,4315,4568
