176 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,August 31 2014,,,September 01 2014,,,September 02 2014,,,September 03 2014,,,September 04 2014,,,September 05 2014,,,September 06 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,82,105,63,67,73,59,47,61,50,71,115,80,78,110,88,85,106,79,114,144,109
1:00,38,58,38,35,46,43,34,27,25,32,48,37,35,42,23,36,41,27,42,62,43
2:00,28,54,28,23,47,36,26,38,12,29,34,23,30,32,28,27,38,30,31,50,28
3:00,14,27,20,18,29,22,25,38,19,25,46,39,32,52,35,29,52,39,28,46,21
4:00,11,27,22,18,27,20,78,97,71,61,122,69,69,112,81,68,98,65,27,49,39
5:00,39,57,30,42,66,36,211,266,212,247,271,204,247,293,221,223,276,202,57,89,56
6:00,43,72,46,70,99,69,359,507,428,378,446,399,413,501,406,384,476,414,93,157,110
7:00,63,109,82,108,142,126,468,668,573,461,662,582,468,689,593,410,654,577,178,236,175
8:00,97,115,101,128,153,113,483,658,583,471,691,602,459,725,658,269,798,704,226,277,254
9:00,153,186,132,148,232,165,360,464,415,384,607,414,348,545,486,226,626,589,290,417,335
10:00,271,344,251,195,300,208,302,400,344,340,489,363,279,522,469,219,671,577,370,576,390
11:00,273,325,267,265,371,274,309,384,336,292,427,343,282,488,390,189,544,489,344,490,356
12:00,264,347,276,298,389,313,306,393,367,283,371,300,294,440,348,145,531,405,357,480,347
13:00,327,395,279,289,399,320,313,398,337,292,381,340,288,382,360,171,451,379,335,457,346
14:00,302,352,282,282,392,319,309,433,382,316,361,366,303,396,348,236,474,385,309,457,347
15:00,258,362,241,292,386,291,335,433,407,347,422,411,400,479,422,264,577,436,359,458,342
16:00,269,330,267,299,333,288,408,472,426,384,434,436,418,516,425,393,546,489,404,416,277
17:00,248,345,235,255,306,258,358,458,440,382,426,462,449,512,453,457,514,418,398,437,287
18:00,235,286,217,296,322,273,324,367,319,353,426,412,363,415,355,357,453,374,368,390,300
19:00,208,282,200,214,239,239,317,296,270,302,348,284,250,279,231,319,379,330,268,287,282
20:00,180,249,171,170,222,186,193,240,193,197,233,187,150,190,144,239,274,222,201,247,192
21:00,148,202,161,162,233,146,149,188,147,153,196,147,143,230,147,170,239,156,177,239,179
22:00,126,176,110,128,145,104,119,148,102,102,144,110,145,233,164,143,188,128,144,232,149
23:00,90,125,104,77,75,62,83,107,80,90,128,76,108,130,88,125,166,129,126,170,104
TOTAL,3767,4930,3623,3879,5026,3970,5916,7541,6538,5992,7828,6686,6051,8313,6963,5184,9172,7643,5246,6863,5068
