176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,August 31 2014,,September 01 2014,,September 02 2014,,September 03 2014,,September 04 2014,,September 05 2014,,September 06 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,98,83,89,59,72,64,110,97,90,101,102,89,168,102
1:00,72,36,86,35,49,29,59,25,55,30,80,49,90,64
2:00,49,21,36,24,45,17,43,16,47,25,42,24,63,34
3:00,34,21,32,10,27,5,45,18,41,23,38,14,47,28
4:00,29,17,24,15,31,45,46,50,54,37,56,42,20,14
5:00,28,31,62,30,105,120,111,122,105,134,101,126,57,52
6:00,60,41,89,43,289,297,321,307,319,333,263,283,102,84
7:00,52,54,86,71,289,297,308,309,275,294,289,297,85,58
8:00,55,25,80,47,295,234,338,238,316,279,298,258,103,60
9:00,60,36,100,64,212,140,231,183,238,171,256,195,142,102
10:00,100,67,101,58,215,144,212,155,259,161,256,172,166,117
11:00,123,85,147,94,230,174,244,176,242,173,256,179,176,107
12:00,170,121,191,137,252,183,274,224,280,211,267,223,237,190
13:00,227,159,213,175,279,229,290,259,292,275,297,251,297,227
14:00,236,161,229,197,358,289,319,339,333,331,325,337,310,251
15:00,268,170,260,199,389,376,402,388,363,363,401,406,330,279
16:00,243,197,275,216,452,390,449,385,427,387,462,402,306,251
17:00,247,195,288,164,497,423,498,435,523,505,462,463,270,214
18:00,275,167,265,181,542,448,500,477,570,542,524,492,312,244
19:00,260,189,218,173,435,379,422,367,406,358,457,337,263,178
20:00,240,161,183,137,321,266,303,241,260,186,315,256,253,202
21:00,187,127,210,140,254,174,257,191,216,140,281,196,222,183
22:00,147,100,165,124,148,122,180,145,235,159,226,154,195,130
23:00,113,89,129,124,128,126,148,137,165,159,199,144,180,140
TOTAL,3373,2353,3558,2517,5914,4971,6110,5284,6111,5377,6253,5389,4394,3311
