176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,August 31 2014,September 01 2014,September 02 2014,September 03 2014,September 04 2014,September 05 2014,September 06 2014
EAST LEG,11043,11111,14574,14520,15208,15856,13754
NORTH LEG,12320,12875,19995,20506,21327,21999,17177
SOUTH LEG,5726,6075,10885,11394,11488,11642,7705
WEST LEG,6968,7027,9056,9524,9874,10486,8883
TOTAL,36057,37088,54510,55944,57897,59983,47519
