176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,November 02 2014,,November 03 2014,,November 04 2014,,November 05 2014,,November 06 2014,,November 07 2014,,November 08 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,110,75,72,77,92,101,93,104,99,98,121,100,142,119
1:00,66,30,34,18,58,28,69,36,59,30,48,28,69,48
2:00,52,24,22,13,36,22,30,18,27,21,58,18,57,40
3:00,34,13,26,9,36,12,36,17,44,13,34,22,31,18
4:00,19,14,31,23,41,43,40,51,44,51,41,39,28,18
5:00,35,25,99,126,103,116,115,130,105,107,94,118,40,45
6:00,60,68,284,318,266,302,270,313,286,313,230,270,72,65
7:00,60,58,309,298,333,303,304,322,319,309,308,310,82,66
8:00,49,29,305,224,296,244,291,247,299,232,304,230,85,61
9:00,91,45,218,150,259,187,231,165,248,199,237,184,124,79
10:00,126,77,202,131,233,133,203,124,199,139,211,147,170,86
11:00,146,102,243,169,235,163,254,146,214,194,243,171,217,135
12:00,203,159,243,164,261,172,276,196,251,178,275,188,240,164
13:00,229,207,319,251,307,236,306,211,307,226,313,267,256,215
14:00,276,201,337,315,314,292,326,304,327,271,372,327,285,247
15:00,212,211,351,387,400,367,405,392,370,363,382,412,296,250
16:00,193,137,433,421,441,397,434,397,468,419,413,403,299,253
17:00,203,140,490,415,520,445,498,424,484,414,493,424,340,261
18:00,267,199,542,456,627,581,554,417,523,448,542,432,355,221
19:00,234,176,433,339,474,406,410,320,432,343,449,380,258,158
20:00,208,139,243,205,291,211,275,216,288,236,298,221,206,159
21:00,153,97,169,128,224,144,232,154,237,219,236,160,202,136
22:00,89,81,137,112,164,117,165,155,162,133,211,146,177,127
23:00,93,112,112,121,127,138,121,119,140,117,179,139,159,116
TOTAL,3208,2419,5654,4870,6138,5160,5938,4978,5932,5073,6092,5136,4190,3087
