176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,November 02 2014,November 03 2014,November 04 2014,November 05 2014,November 06 2014,November 07 2014,November 08 2014
EAST LEG,11050,14381,14224,14742,14796,15900,13559
NORTH LEG,12453,19241,19933,20018,20210,21269,16147
SOUTH LEG,5627,10524,11298,10916,11005,11228,7277
WEST LEG,6842,8841,9004,9204,9547,10271,8488
TOTAL,35972,52987,54459,54880,55558,58668,45471
