176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,November 30 2014,December 01 2014,December 02 2014,December 03 2014,December 04 2014,December 05 2014,December 06 2014
EAST LEG,10351,13857,14696,14583,14865,15885,13172
NORTH LEG,12210,19147,20024,20175,20388,21109,16398
SOUTH LEG,5326,10403,11082,11285,11164,11306,7527
WEST LEG,6681,8615,9293,9328,9347,9973,8367
TOTAL,34568,52022,55095,55371,55764,58273,45464
