112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,September 07 2014,September 08 2014,September 09 2014,September 10 2014,September 11 2014,September 12 2014,September 13 2014
EAST LEG,7921,8985,8789,9030,9320,10216,9585
NORTH LEG,19856,27419,27949,28456,29335,30299,24242
SOUTH LEG,19909,25206,25052,27678,28175,28655,24534
WEST LEG,5937,7406,7299,7283,7480,8219,6834
TOTAL,53623,69016,69089,72447,74310,77389,65195
