112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,September 07 2014,,September 08 2014,,September 09 2014,,September 10 2014,,September 11 2014,,September 12 2014,,September 13 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,68,79,39,43,32,53,41,51,44,55,45,44,79,74
1:00,53,64,25,15,31,37,17,34,28,33,32,33,48,61
2:00,43,38,5,15,20,13,23,18,15,12,11,24,44,46
3:00,21,29,9,17,13,17,5,16,15,22,16,17,30,29
4:00,25,22,10,21,11,13,12,19,12,17,17,19,18,20
5:00,12,16,14,22,16,28,19,28,21,42,16,26,17,13
6:00,8,17,51,50,63,60,45,46,49,60,55,48,30,27
7:00,25,33,110,112,99,103,98,120,106,102,103,116,40,45
8:00,39,101,146,158,127,148,146,156,148,173,159,168,84,129
9:00,114,249,175,186,186,217,161,206,161,204,167,211,150,287
10:00,232,357,204,228,209,214,175,223,234,212,209,223,286,335
11:00,289,291,242,274,247,244,195,242,252,280,288,287,314,359
12:00,267,316,264,287,238,301,271,300,262,282,276,299,435,402
13:00,318,351,288,309,250,299,249,298,283,311,327,316,466,426
14:00,312,339,289,340,281,330,282,304,298,316,351,346,411,393
15:00,310,336,299,309,319,331,319,333,310,328,341,357,355,411
16:00,272,317,355,371,290,408,347,354,348,388,407,427,336,335
17:00,263,308,426,458,410,403,439,460,426,431,489,490,332,342
18:00,232,298,447,420,405,329,473,483,506,499,608,503,304,315
19:00,213,241,359,373,366,374,352,364,376,358,462,446,242,254
20:00,188,207,241,226,241,256,245,254,233,279,241,276,191,242
21:00,130,172,178,196,169,194,186,223,162,201,183,205,151,191
22:00,83,106,97,125,96,152,103,131,130,133,139,141,116,150
23:00,61,56,78,79,82,64,75,89,73,90,117,135,95,125
TOTAL,3578,4343,4351,4634,4201,4588,4278,4752,4492,4828,5059,5157,4574,5011
