176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,September 14 2014,September 15 2014,September 16 2014,September 17 2014,September 18 2014,September 19 2014,September 20 2014
EAST LEG,11759,14298,14337,14363,14403,15551,13692
NORTH LEG,14105,19897,20208,20121,20614,21751,16655
SOUTH LEG,6412,11112,11210,11196,11286,11471,7553
WEST LEG,7585,9267,9420,9220,9143,10175,8565
TOTAL,39861,54574,55175,54900,55446,58948,46465
