176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,September 14 2014,,September 15 2014,,September 16 2014,,September 17 2014,,September 18 2014,,September 19 2014,,September 20 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,130,123,57,55,102,96,76,65,86,70,102,83,122,127
1:00,67,83,28,39,34,44,40,37,48,49,38,45,67,84
2:00,38,48,25,19,21,19,26,20,19,23,28,22,42,37
3:00,23,25,12,19,24,26,20,20,14,17,18,15,31,31
4:00,9,24,7,13,11,11,10,14,14,14,13,19,12,19
5:00,11,12,43,35,44,45,22,42,40,35,33,48,22,18
6:00,26,39,123,193,126,173,123,174,111,167,109,156,31,41
7:00,27,45,221,244,219,268,210,257,211,277,187,236,52,73
8:00,82,88,242,295,260,297,221,264,253,292,260,305,92,94
9:00,131,107,213,237,204,247,213,248,207,243,227,240,116,141
10:00,173,176,201,192,184,184,186,214,171,196,182,201,154,195
11:00,227,228,215,194,212,174,196,192,166,204,212,236,214,240
12:00,230,251,229,237,222,215,194,221,198,199,247,246,259,274
13:00,291,337,226,253,213,216,212,234,217,226,242,271,264,287
14:00,261,295,234,232,246,241,228,239,226,245,300,281,282,312
15:00,229,239,290,311,303,316,293,276,281,316,325,330,290,321
16:00,231,269,381,351,332,346,334,375,344,363,375,386,328,323
17:00,281,274,449,413,396,365,363,348,360,372,365,403,340,308
18:00,293,317,344,368,378,408,372,386,319,392,407,415,321,325
19:00,267,281,282,303,340,365,365,378,299,343,382,335,264,277
20:00,214,252,230,274,248,289,277,283,268,277,262,332,276,281
21:00,207,185,194,215,203,232,195,233,209,234,255,256,230,272
22:00,126,137,137,148,147,145,148,136,132,150,207,199,194,187
23:00,89,87,133,111,104,125,129,111,128,118,174,165,145,150
TOTAL,3663,3922,4516,4751,4573,4847,4453,4767,4321,4822,4950,5225,4148,4417
