176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,September 14 2014,,September 15 2014,,September 16 2014,,September 17 2014,,September 18 2014,,September 19 2014,,September 20 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,165,109,68,78,131,119,114,95,109,95,113,109,194,131
1:00,78,57,47,21,51,38,67,33,59,26,65,38,119,75
2:00,56,41,42,18,39,15,50,19,45,32,64,24,62,43
3:00,47,26,28,12,40,11,37,13,40,14,39,19,40,20
4:00,30,11,30,33,46,46,44,45,50,38,39,32,34,19
5:00,26,32,89,108,97,103,114,111,121,114,88,100,40,38
6:00,66,73,269,320,296,322,287,305,261,321,259,297,82,72
7:00,63,59,311,303,314,296,322,307,301,315,307,299,99,90
8:00,56,36,321,249,301,231,302,277,319,260,292,253,85,59
9:00,75,50,248,178,237,178,225,186,247,207,261,204,105,66
10:00,121,77,228,162,203,154,204,146,215,149,224,162,152,97
11:00,173,92,240,172,241,161,216,168,241,187,231,188,208,126
12:00,198,160,273,213,267,226,240,178,248,185,256,205,232,152
13:00,273,184,307,234,246,230,281,252,271,241,291,247,252,173
14:00,276,223,319,328,335,304,332,293,340,328,321,321,283,225
15:00,224,173,356,363,368,373,357,374,358,391,415,401,287,240
16:00,216,152,412,399,445,376,459,386,447,405,454,417,295,231
17:00,243,188,509,480,481,397,474,438,484,422,467,434,307,249
18:00,293,233,520,440,563,483,560,427,556,465,491,404,330,256
19:00,279,211,431,356,428,388,440,366,386,366,474,355,269,197
20:00,238,179,308,208,310,243,317,255,284,246,329,263,255,178
21:00,209,137,241,159,238,172,273,168,262,175,282,214,255,175
22:00,156,107,171,157,192,160,187,144,191,148,235,163,201,145
23:00,117,124,182,171,162,153,163,145,160,161,172,153,182,128
TOTAL,3678,2734,5950,5162,6031,5179,6065,5131,5995,5291,6169,5302,4368,3185
