176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,June 22 2014,,June 23 2014,,June 24 2014,,June 25 2014,,June 26 2014,,June 27 2014,,June 28 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,236,139,135,64,132,74,164,91,139,88,144,80,194,122
1:00,134,72,77,44,80,39,96,44,86,49,90,66,120,92
2:00,127,59,55,17,46,19,52,17,64,22,56,23,55,52
3:00,71,44,36,15,38,18,43,13,40,18,33,18,56,52
4:00,43,28,32,13,43,10,49,19,34,13,45,19,31,19
5:00,33,14,50,17,55,27,70,30,52,34,52,35,31,17
6:00,63,27,130,65,125,66,121,61,135,55,143,64,77,27
7:00,98,36,201,103,185,110,194,123,202,119,198,96,106,48
8:00,142,86,297,177,247,166,255,197,258,190,266,193,182,121
9:00,218,124,318,203,270,204,314,210,299,200,291,209,294,198
10:00,318,171,313,222,310,204,316,218,338,248,338,223,362,279
11:00,391,294,358,241,349,229,344,251,364,262,361,293,432,319
12:00,449,300,437,310,407,292,430,288,391,294,403,321,477,343
13:00,533,388,486,354,450,345,421,317,427,313,522,390,514,365
14:00,492,362,465,343,463,322,441,345,469,361,498,371,539,433
15:00,542,362,523,401,493,405,539,385,503,450,592,482,533,395
16:00,505,355,642,546,619,523,612,568,607,533,660,569,530,385
17:00,458,325,768,716,765,665,739,642,741,651,744,654,556,389
18:00,475,359,780,690,790,699,779,686,768,699,756,609,492,340
19:00,451,306,671,466,625,522,674,535,664,547,649,485,450,318
20:00,402,290,402,311,465,321,465,343,471,344,513,343,395,275
21:00,341,213,361,250,356,245,406,301,390,269,382,296,350,250
22:00,293,187,263,213,297,191,320,219,296,199,340,262,301,215
23:00,223,143,198,119,197,119,231,133,204,144,262,190,263,198
TOTAL,7038,4684,7998,5900,7807,5815,8075,6036,7942,6102,8338,6291,7340,5252
