176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,June 22 2014,,June 23 2014,,June 24 2014,,June 25 2014,,June 26 2014,,June 27 2014,,June 28 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,96,110,58,60,69,77,80,90,80,92,70,94,108,120
1:00,51,80,24,40,34,36,34,39,44,50,36,52,52,66
2:00,43,32,15,25,23,22,28,18,32,28,22,23,36,34
3:00,28,23,8,19,15,20,20,23,15,19,30,16,32,22
4:00,17,22,6,17,14,5,9,22,16,27,10,18,16,13
5:00,11,17,25,34,21,28,32,35,26,33,24,29,13,12
6:00,17,21,107,147,108,143,99,146,134,134,102,126,25,36
7:00,32,37,169,209,198,240,196,243,197,223,177,240,49,53
8:00,65,67,194,221,177,229,173,228,198,219,171,193,83,91
9:00,93,113,158,181,142,171,157,188,180,171,159,177,121,105
10:00,137,151,157,152,146,142,151,188,147,143,140,181,166,161
11:00,207,197,174,193,133,178,168,179,161,177,182,193,218,245
12:00,193,214,235,229,190,212,220,204,188,210,180,231,240,253
13:00,243,285,232,266,202,233,239,261,195,240,257,263,234,282
14:00,249,256,245,244,226,270,214,255,186,204,255,284,260,285
15:00,253,305,235,283,261,255,264,302,284,286,302,302,296,320
16:00,222,287,296,300,323,361,317,304,320,367,308,360,283,300
17:00,244,257,344,375,324,346,322,369,332,389,295,373,246,288
18:00,261,273,307,363,321,369,327,389,303,400,366,411,249,310
19:00,204,277,277,318,271,339,303,355,306,355,330,360,225,279
20:00,204,234,221,249,214,276,230,273,218,244,253,280,217,218
21:00,147,172,163,193,184,224,191,217,181,231,204,229,189,214
22:00,131,134,123,160,128,156,149,169,122,157,180,183,158,179
23:00,96,106,93,98,102,94,126,116,99,111,157,162,145,124
TOTAL,3244,3670,3866,4376,3826,4426,4049,4613,3964,4510,4210,4780,3661,4010
