176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,June 22 2014,June 23 2014,June 24 2014,June 25 2014,June 26 2014,June 27 2014,June 28 2014
EAST LEG,11722,13898,13622,14111,14044,14629,12592
NORTH LEG,13776,19489,19825,20360,19901,20105,15508
SOUTH LEG,6365,10676,10928,11200,11015,10675,7321
WEST LEG,6914,8242,8252,8662,8474,8990,7671
TOTAL,38777,52305,52627,54333,53434,54399,43092
