112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,January 04 2015,,,January 05 2015,,,January 06 2015,,,January 07 2015,,,January 08 2015,,,January 09 2015,,,January 10 2015,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,104,98,122,76,68,65
1:00,63,71,68,36,34,46
2:00,40,48,41,29,23,53
3:00,33,33,38,33,33,66
4:00,28,29,47,67,76,176
5:00,37,39,76,209,286,600
6:00,65,62,103,542,601,807
7:00,155,104,158,729,710,826
8:00,158,138,198,735,822,805
9:00,252,187,270,607,604,631
10:00,370,316,402,3063,3257,4075
